city,country,lat,lng,top,right,bottom,left
Randburg,South Africa,-26.1438399,27.9951862,-26.0025355,28.0474469,-26.2253129,27.8770918
Surakarta,Indonesia,-7.5754887,110.8243272,-7.523208,110.8685012,-7.59521,110.769123
Dumaguete,Philippines,9.3068402,123.3054467,9.3324781,123.3137981,9.2589862,123.2503367
Tangerang,Indonesia,-6.2023936,106.6527099,-6.097141,106.748612,-6.2562341,106.551456
Worcester,United Kingdom,52.193636,-2.221575,52.2313919,-2.1573038,52.1616362,-2.2632029
Yogyakarta,Indonesia,-7.7955798,110.3694896,-7.7663509,110.405084,-7.84015,110.3446059
Pasadena  CA,United States,34.1477849,-118.1445155,34.251905,-118.0654789,34.1170368,-118.1981391
Algiers,Algeria,36.753768,3.0587561,36.7587844,3.0616236,36.7488675,3.0540584
Annaba,Algeria,36.9264582,7.7525352,36.9712211,7.7951431,36.8656479,7.6954079
Aversa,Italy,40.9731743,14.2076688,40.9920831,14.2268033,40.9490211,14.1833739
Bloomington  IN,United States,39.165325,-86.5263857,39.22107,-86.4712941,39.1213559,-86.592398
